독서,소라
영화 감상,준혁
음악 감상,민지
여행,지훈
요가,다영
등산,성훈
자전거 타기,예진
사진 촬영,하영
캠핑,우진
뜨개질,수현
그림 그리기,민수
스케치,태연
퍼즐 맞추기,은지
보드게임,서준
비디오게임,나연
기타 연주,현우
춤추기,윤서
달리기,상민
스키,지안
스노우보드,지호
스케이트보드,유리
서핑,성민
낚시,지원
요리,하준
베이킹,다희
재봉,예찬
글쓰기,소연
시 쓰기,태민
정원 가꾸기,재희
도예,민석
주얼리 만들기,시우
비즈 공예,유진
캘리그라피,하늘
공예품 만들기,성우
모형 제작,도현
퍼즐 조립,혜린
레고 조립,수민
미니어처 만들기,동현
코스프레,지수
홈 인테리어 꾸미기,은서
명상,선우
크로스핏,하림
테니스,승현
골프,연우
농구,시현
축구,윤호
배구,지유
배드민턴,정민
요트 타기,태훈
승마,서현
다이빙,준호
스쿠버다이빙,은우
수영,예림
바둑,재현
체스,다빈
장기,승우
퍼즐 게임,서윤
카드 게임,진우
마술 배우기,보민
유튜브 영상 제작,도영
팟캐스트 듣기,가영
블로그 작성,지윤
목공예,민재
레진 공예,희준
오페라 감상,유하
연극 관람,원준
재즈 음악 감상,하윤
와인 테이스팅,주혁
조류 관찰,은채
별 관찰,현수
천체 망원경 사용,연재
천문학 연구,동주
애완동물 돌보기,예슬
도그 트레이닝,민호
고양이 트레이닝,다인
비둘기 키우기,준성
닭 키우기,세은
DIY 가구 제작,유빈
자동차 수리,태경
바이크 타기,서빈
런닝머신 걷기,도훈
필라테스,라희
에어로빅,승호
킥복싱,진서
복싱,윤재
클라이밍,예서
미니골프,민혁
페인팅,주연
아크릴 아트,현빈
오일 페인팅,아린
수채화 그리기,성찬
다이어리 꾸미기,해린
스탬프 수집,승민
동전 수집,유준
화폐 수집,은수
우표 수집,준서
빈티지 물건 수집,수빈
앤틱 가구 복원,태영
플라워 아트,민아
심리학 공부,지민
